Date,Judge,Url
23-07-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2021/5/5_2021_36_1501_28814_Judgement_23-Jul-2021.pdf
03-02-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2021/28/28_2021_38_14_25922_Judgement_03-Feb-2021.pdf
01-03-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2020/70/70_2020_36_1503_26554_Judgement_01-Mar-2021.pdf
08-03-2021,HON'BLE MS. JUSTICE INDIRA BANERJEE,https://main.sci.gov.in/supremecourt/2021/82/82_2021_43_13_26745_Judgement_08-Mar-2021.pdf
16-02-2021,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,https://main.sci.gov.in/supremecourt/2021/114/114_2021_38_1501_26229_Judgement_16-Feb-2021.pdf
16-12-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2018/128/128_2018_13_1502_32143_Judgement_16-Dec-2021.pdf
08-12-2021,HON'BLE MR. JUSTICE K.M. JOSEPH,https://main.sci.gov.in/supremecourt/2017/138/138_2017_10_3_31963_Judgement_08-Dec-2021.pdf
29-11-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/140/140_2021_34_1501_31724_Judgement_29-Nov-2021.pdf
19-03-2021,HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,https://main.sci.gov.in/supremecourt/2021/195/195_2021_33_1501_27050_Judgement_19-Mar-2021.pdf
07-10-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2020/210/210_2020_44_10_30663_Judgement_07-Oct-2021.pdf
26-03-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2020/212/212_2020_31_1503_27229_Judgement_26-Mar-2021.pdf
18-11-2021,HON'BLE MR. JUSTICE HRISHIKESH ROY,https://main.sci.gov.in/supremecourt/2021/214/214_2021_42_1502_31401_Judgement_18-Nov-2021.pdf
02-03-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/232/232_2021_36_8_26641_Judgement_02-Mar-2021.pdf
28-10-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2017/291/291_2017_2_107_30917_Judgement_28-Oct-2021.pdf
06-12-2021,HON'BLE MR. JUSTICE VINEET SARAN,https://main.sci.gov.in/supremecourt/2021/316/316_2021_39_1501_31834_Judgement_06-Dec-2021.pdf
21-01-2021,nan,https://main.sci.gov.in/supremecourt/2021/320/320_2021_40_13_25551_Order_21-Jan-2021.pdf
21-09-2021,HON'BLE MR. JUSTICE B.R. GAVAI,https://main.sci.gov.in/supremecourt/2019/341/341_2019_35_1501_30237_Judgement_21-Sep-2021.pdf
01-10-2021,HON'BLE MR. JUSTICE J.K. MAHESHWARI,https://main.sci.gov.in/supremecourt/2021/359/359_2021_47_25_30533_Judgement_01-Oct-2021.pdf
24-09-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2019/403/403_2019_34_20_30288_Judgement_24-Sep-2021.pdf
20-04-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/410/410_2021_36_1501_27668_Judgement_20-Apr-2021.pdf
05-03-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2019/416/416_2019_38_1501_26707_Judgement_05-Mar-2021.pdf
23-03-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt/2020/429/429_2020_37_1503_27213_Judgement_23-Mar-2021.pdf
08-10-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/433/433_2021_34_1504_30692_Judgement_08-Oct-2021.pdf
21-09-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2020/444/444_2020_13_1501_30200_Judgement_21-Sep-2021.pdf
